Fechas;Serie;Indice;Variable
2024-03-01;sarima;388.8500056696285;Prendas de Vestir y Calzado
2024-04-01;sarima;389.7977494018659;Prendas de Vestir y Calzado
2024-05-01;sarima;390.63894340979607;Prendas de Vestir y Calzado
2024-06-01;sarima;391.64405793608455;Prendas de Vestir y Calzado
2024-07-01;sarima;393.04082225766416;Prendas de Vestir y Calzado
2024-08-01;sarima;394.51450111896713;Prendas de Vestir y Calzado
2024-09-01;sarima;395.8573640729935;Prendas de Vestir y Calzado
2024-10-01;sarima;397.1208421431783;Prendas de Vestir y Calzado
2023-11-01;auto_arima;383.37585193341994;Prendas de Vestir y Calzado
2023-12-01;auto_arima;384.8193900928616;Prendas de Vestir y Calzado
2024-01-01;auto_arima;386.4149530259978;Prendas de Vestir y Calzado
2024-02-01;auto_arima;387.83832158162954;Prendas de Vestir y Calzado
2024-03-01;auto_arima;389.2996868373553;Prendas de Vestir y Calzado
2024-04-01;auto_arima;390.72275668179964;Prendas de Vestir y Calzado
2024-05-01;auto_arima;392.0833736929551;Prendas de Vestir y Calzado
2024-06-01;auto_arima;393.529759555693;Prendas de Vestir y Calzado
2024-07-01;auto_arima;395.09987621018496;Prendas de Vestir y Calzado
2024-08-01;auto_arima;396.4986597027771;Prendas de Vestir y Calzado
2024-09-01;auto_arima;397.92029933212524;Prendas de Vestir y Calzado
2024-10-01;auto_arima;399.3703357518454;Prendas de Vestir y Calzado
2023-11-01;uc;383.4586698160341;Prendas de Vestir y Calzado
2023-12-01;uc;384.87332191441135;Prendas de Vestir y Calzado
2024-01-01;uc;387.0566741837728;Prendas de Vestir y Calzado
2024-02-01;uc;388.23165411945484;Prendas de Vestir y Calzado
2024-03-01;uc;389.77142211877003;Prendas de Vestir y Calzado
2024-04-01;uc;391.0703599098923;Prendas de Vestir y Calzado
2024-05-01;uc;392.42402743707135;Prendas de Vestir y Calzado
2024-06-01;uc;393.7635938865869;Prendas de Vestir y Calzado
2024-07-01;uc;395.2398089881596;Prendas de Vestir y Calzado
2024-08-01;uc;396.7532057827047;Prendas de Vestir y Calzado
2024-09-01;uc;398.12105386424423;Prendas de Vestir y Calzado
2024-10-01;uc;399.5668803963145;Prendas de Vestir y Calzado
2023-11-01;ets;383.50965550385985;Prendas de Vestir y Calzado
2023-12-01;ets;385.0353022577151;Prendas de Vestir y Calzado
2024-01-01;ets;386.9756097511019;Prendas de Vestir y Calzado
2024-02-01;ets;388.382813879005;Prendas de Vestir y Calzado
2024-03-01;ets;389.8411484851595;Prendas de Vestir y Calzado
2024-04-01;ets;391.1362824524319;Prendas de Vestir y Calzado
2024-05-01;ets;392.54880033411337;Prendas de Vestir y Calzado
2024-06-01;ets;393.9303983451681;Prendas de Vestir y Calzado
2024-07-01;ets;395.3664501428573;Prendas de Vestir y Calzado
2024-08-01;ets;396.87974224574793;Prendas de Vestir y Calzado
2024-09-01;ets;398.28367692767796;Prendas de Vestir y Calzado
2024-10-01;ets;399.70520401491973;Prendas de Vestir y Calzado
2023-11-01;ll_trend;383.4594004426881;Prendas de Vestir y Calzado
2023-12-01;ll_trend;384.9188006970705;Prendas de Vestir y Calzado
2024-01-01;ll_trend;386.37820095145287;Prendas de Vestir y Calzado
2024-02-01;ll_trend;387.83760120583526;Prendas de Vestir y Calzado
2024-03-01;ll_trend;389.29700146021764;Prendas de Vestir y Calzado
2024-04-01;ll_trend;390.75640171460003;Prendas de Vestir y Calzado
2024-05-01;ll_trend;392.2158019689824;Prendas de Vestir y Calzado
2024-06-01;ll_trend;393.6752022233648;Prendas de Vestir y Calzado
2024-07-01;ll_trend;395.1346024777472;Prendas de Vestir y Calzado
2024-08-01;ll_trend;396.5940027321296;Prendas de Vestir y Calzado
2024-09-01;ll_trend;398.05340298651197;Prendas de Vestir y Calzado
2024-10-01;ll_trend;399.51280324089436;Prendas de Vestir y Calzado
2023-11-01;exper_seas_naive;377.1325823791533;Prendas de Vestir y Calzado
2023-12-01;exper_seas_naive;378.3976022108947;Prendas de Vestir y Calzado
2024-01-01;exper_seas_naive;380.96498405219563;Prendas de Vestir y Calzado
2024-02-01;exper_seas_naive;382.06583464648673;Prendas de Vestir y Calzado
2024-03-01;exper_seas_naive;383.72489006151665;Prendas de Vestir y Calzado
